id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Dreams,Synth Master,electronic,intense,0.95,140,0.75,0.90,0.05
12,Mountain Trail,Country Roads,country,relaxed,0.45,100,0.70,0.55,0.85
13,Moonlight Sonata,Piano Classics,classical,moody,0.25,60,0.40,0.30,0.95
14,Urban Beat,Street Rhythms,hip hop,intense,0.88,95,0.65,0.85,0.15
15,Ocean Waves,Ambient Soundscapes,ambient,chill,0.20,70,0.55,0.35,0.98
16,Reggae Sunset,Tropical Vibes,reggae,relaxed,0.60,90,0.80,0.75,0.40
17,Metal Thunder,Heavy Metal,metal,intense,0.98,160,0.30,0.70,0.02
18,Folk Guitar,Acoustic Sessions,folk,moody,0.35,85,0.50,0.45,0.92
19,Dance Fever,Electro Beats,electronic,happy,0.92,128,0.85,0.95,0.08
